companycode	account	profitcenter	businessarea	costcenter	tradingpartner	segment	ledger	accountdescription	fiscalyear	period	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt	transactioncount
1000	0000111102	0002000120	1000			AC	0L	Bank Clearing	2019	11	INR	0.00	USD	-750.00	USD	-750.00	0
1000	0000111102	AZA PRCTR					0L	Bank Clearing	2019	11	INR	0.00	USD	-3.24	USD	-3.24	0
1000	0000111102	NIT					0L	Bank Clearing	2019	11	INR	0.00	USD	-124198.37	USD	-124198.37	0
1000	0000111102	P1					0L	Bank Clearing	2019	11	INR	0.00	USD	-4.86	USD	-4.86	0
1000	0000111102	P2					0L	Bank Clearing	2019	11	INR	0.00	USD	-3.24	USD	-3.24	0
1000	0000111102	P3					0L	Bank Clearing	2019	11	INR	0.00	USD	-1.62	USD	-1.62	0
1000	0000111102	PC001					0L	Bank Clearing	2019	11	INR	0.00	USD	3847774.56	USD	3847774.56	364
1000	0000111102	PC001	1000				0L	Bank Clearing	2019	11	INR	0.00	USD	1840.00	USD	1840.00	0
1000	0000111102	PC002					0L	Bank Clearing	2019	11	INR	0.00	USD	-1507324281.89	USD	-1507324281.89	418
1000	0000111102	PC002	1000				0L	Bank Clearing	2019	11	INR	0.00	USD	-4130.00	USD	-4130.00	0
1000	0000111102	PC003					0L	Bank Clearing	2019	11	INR	0.00	USD	44949193.28	USD	44949193.28	480
1000	0000111102	PC003	0001				0L	Bank Clearing	2019	11	INR	0.00	USD	690.00	USD	690.00	0
1000	0000111102	PC003	1000				0L	Bank Clearing	2019	11	INR	0.00	USD	-680.00	USD	-680.00	0
1000	0000111102	PC004					0L	Bank Clearing	2019	11	INR	0.00	USD	2267.08	USD	2267.08	0
1000	0000111102	PC005					0L	Bank Clearing	2019	11	INR	0.00	USD	1099.38	USD	1099.38	0
1000	0000111102	PC006					0L	Bank Clearing	2019	11	INR	0.00	USD	1150.99	USD	1150.99	0
1000	0000111102	PC007					0L	Bank Clearing	2019	11	INR	0.00	USD	99.19	USD	99.19	0
1000	0000111103						0L	Misc Exp	2019	11	INR	0.00	USD	-103691.00	USD	-103691.00	0
1000	0000111103		NORT				0L	Misc Exp	2019	11	INR	0.00	USD	-6000.00	USD	-6000.00	0
1000	0000111103	AZA PRCTR					0L	Misc Exp	2019	11	INR	0.00	USD	200.00	USD	200.00	0
1000	0000111103	NIT12					0L	Misc Exp	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111103	P2					0L	Misc Exp	2019	11	INR	0.00	USD	400.00	USD	400.00	0
1000	0000111103	PC002					0L	Misc Exp	2019	11	INR	0.00	USD	16000.00	USD	16000.00	0
1000	0000111103	PC004					0L	Misc Exp	2019	11	INR	0.00	USD	1000.00	USD	1000.00	0
1000	0000111104	0002000100				FAN	0L	Advt. Expense	2019	11	INR	0.00	USD	400.00	USD	400.00	0
1000	0000111104	P1					0L	Advt. Expense	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000111104	P3					0L	Advt. Expense	2019	11	INR	0.00	USD	200.00	USD	200.00	0
1000	0000111104	PC001					0L	Advt. Expense	2019	11	INR	0.00	USD	10000.00	USD	10000.00	0
1000	0000111104	PC002					0L	Advt. Expense	2019	11	INR	0.00	USD	10000.00	USD	10000.00	0
1000	0000111104	PC003					0L	Advt. Expense	2019	11	INR	0.00	USD	-15000.00	USD	-15000.00	0
1000	0000111104	PC005					0L	Advt. Expense	2019	11	INR	0.00	USD	1000.00	USD	1000.00	0
1000	0000111105						0L	Discount	2019	11	INR	0.00	USD	-4000.00	USD	-4000.00	0
1000	0000111105	PC006					0L	Discount	2019	11	INR	0.00	USD	1000.00	USD	1000.00	0
1000	0000111106	PC001					0L	Test	2019	11	INR	0.00	USD	500.00	USD	500.00	0
1000	0000111106	PC002					0L	Test	2019	11	INR	0.00	USD	300.00	USD	300.00	0
1000	0000111106	PC003					0L	Test	2019	11	INR	0.00	USD	100.00	USD	100.00	0
1000	0000111107						0L	Test 1	2019	11	INR	0.00	USD	-900.00	USD	-900.00	0
1000	0000111108						0L	FB41 Test GL	2019	11	INR	0.00	USD	-1115.00	USD	-1115.00	0
1000	0000111108	PC001					0L	FB41 Test GL	2019	11	INR	0.00	USD	-298.00	USD	-298.00	0
1000	0000111109						0L	FB41 Test GL_2	2019	11	INR	0.00	USD	5665.00	USD	5665.00	0
1000	0000111109	PC001					0L	FB41 Test GL_2	2019	11	INR	0.00	USD	-3216309.15	USD	-3216309.15	6
1000	0000111109	PC002					0L	FB41 Test GL_2	2019	11	INR	0.00	USD	-3226049.48	USD	-3226049.48	6
1000	0000111109	PC003					0L	FB41 Test GL_2	2019	11	INR	0.00	USD	-1613389.8	USD	-1613389.8	6
1000	0000111109	PC005					0L	FB41 Test GL_2	2019	11	INR	0.00	USD	-6900.00	USD	-6900.00	0
1000	0000111110						0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-101703.00	USD	-101703.00	17
1000	0000111110				002000		0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	405165.56	USD	405165.56	32
1000	0000111110	0000200010					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-53612.44	USD	-53612.44	27
1000	0000111110	PC001					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	465512.67	USD	465512.67	27
1000	0000111110	PC001	0001				0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	400.00	USD	400.00	0
1000	0000111110	PC002					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-111412.22	USD	-111412.22	27
1000	0000111110	PC003					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-149871.77	USD	-149871.77	27
1000	0000111110	PC004					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-300317.39	USD	-300317.39	27
1000	0000111110	PC004			002000		0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-10000.00	USD	-10000.00	0
1000	0000111110	PC005					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-127873.44	USD	-127873.44	27
1000	0000111110	PC006					0L	TestGL_Cross Comp	2019	11	INR	0.00	USD	-154679.97	USD	-154679.97	27
1000	0000113000						0L	Bank - bank statements	2019	11	INR	0.00	USD	-78200.00	USD	-78200.00	0
1000	0000113001						0L	Bank - outg. checks	2019	11	INR	0.00	USD	-40242.00	USD	-40242.00	0
1000	0000113002						0L	Bank - transfers	2019	11	INR	0.00	USD	-41000.00	USD	-41000.00	0
1000	0000113004						0L	Concentration Account - ACH In	2019	11	INR	0.00	USD	-2744.00	USD	-2744.00	0
1000	0000113005						0L	Concentration Account - Check Out	2019	11	INR	0.00	USD	-1221.00	USD	-1221.00	0
1000	0000113006						0L	Concentration Account - Checks In	2019	11	INR	0.00	USD	1221.00	USD	1221.00	0
1000	0000113007						0L	Concentration Account - ZBA Transfers	2019	11	INR	0.00	USD	33522.00	USD	33522.00	0
1000	0000113008						0L	Concentration Account - Other Transfers	2019	11	INR	0.00	USD	3321.00	USD	3321.00	0
1000	0000113008		EAST				0L	Concentration Account - Other Transfers	2019	11	INR	0.00	USD	-200.00	USD	-200.00	0
1000	0000113009						0L	Concentration Account - Treasury Transfer	2019	11	INR	0.00	USD	-1221.00	USD	-1221.00	0
1000	0000122020						0L	Customer receivables- foreign (adjustment account)	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000125200						0L	Security deposit (customers)	2019	11	INR	0.00	USD	-10000.00	USD	-10000.00	0
1000	0000125200	0002000100	1000			FAN	0L	Security deposit (customers)	2019	11	INR	0.00	USD	10000.00	USD	10000.00	0
1000	0000125310						0L	Accounts Receivable - Lockbox Unapplied Cash	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000125500						0L	Accrued Revenue	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000160999						0L	Fixed Assets Acquisition Clearing	2019	11	INR	0.00	USD	1000.00	USD	1000.00	0
1000	0000191000						0L	Loans Intercompany - Long Term	2019	11	INR	0.00	USD	0.00	USD	0.00	0
1000	0000211000						0L	Trade Payables- Domestic	2019	11	INR	0.00	USD	-1221.00	USD	-1221.00	0
1000	0000211020						0L	Trade Payable - Adustments Domestic	2019	11	INR	0.00	USD	-1778.00	USD	-1778.00	0
1000	0000212020						0L	Trade Payable - Adjustments Foreign	2019	11	INR	0.00	USD	-222.00	USD	-222.00	0
1000	0000213020						0L	Accounts Payable - Adjustments Intercompany	2019	11	INR	0.00	USD	4222.00	USD	4222.00	0
1000	0000216410						0L	CDN PST Recoverable	2019	11	INR	0.00	USD	50.00	USD	50.00	0
1000	0000223000						0L	Accounts Payable - Intercompany, Long Term	2019	11	INR	0.00	USD	7200.00	USD	7200.00	0
1000	0000310000						0L	Common Stock - At Par Value	2019	11	INR	0.00	USD	-19900.00	USD	-19900.00	0
1000	0000320000						0L	Capital In Excess Of Par Value	2019	11	INR	0.00	USD	79900.00	USD	79900.00	0
1000	0000330000						0L	Retained Earnings	2019	11	INR	0.00	USD	-66701.00	USD	-66701.00	0
1000	0000430000						0L	Accrued Revenue	2019	11	INR	0.00	USD	6701.00	USD	6701.00	0
1000	0000440020						0L	Sales Discounts	2019	11	INR	0.00	USD	111.00	USD	111.00	0
1000	0000510080						0L	Consumption - Trading Goods	2019	11	INR	0.00	USD	-1200.00	USD	-1200.00	0
1000	0000510085						0L	Consumption - Subcontracting	2019	11	INR	0.00	USD	1200.00	USD	1200.00	0
1000	0000520000						0L	Gain/Loss Material Revaluation	2019	11	INR	0.00	USD	-5600.00	USD	-5600.00	0
1000	0000520050						0L	Inventory Change - Work In Process	2019	11	INR	0.00	USD	5600.00	USD	5600.00	0
1000	0000610030		1000	0001000100			0L	Travel Expenses - Accommodation	2019	11	INR	0.00	USD	6800.00	USD	6800.00	0
1000	0000610060		1000				0L	Travel Expenses - Entertainment	2019	11	INR	0.00	USD	8700.00	USD	8700.00	0
1000	0000750040						0L	Test GL	2019	11	INR	0.00	USD	-111.00	USD	-111.00	0
2000	0000111000						0L	Cash Desk	2019	11	INR	0.00	USD	10500.00	USD	10500.00	0
2000	0000111000	0000200010				APP_IPAD	0L	Cash Desk	2019	11	INR	0.00	USD	2250.00	USD	2250.00	0
2000	0000111000	0000200020				APP_IPAD	0L	Cash Desk	2019	11	INR	0.00	USD	1250.00	USD	1250.00	0
2000	0000111111						0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	-1124.92	USD	-1124.92	2
2000	0000111111				001000		0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	-395165.56	USD	-395165.56	32
2000	0000111111	0000200010				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	7013.77	USD	7013.77	8
2000	0000111111	0000200010	EAST	0020001010		APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	200.00	USD	200.00	0
2000	0000111111	0000200010	EAST	0020001020		APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	-200.00	USD	-200.00	0
2000	0000111111	PC001				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	-139596.99	USD	-139596.99	8
2000	0000111111	PC002				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	22788.03	USD	22788.03	8
2000	0000111111	PC003				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	48440.9	USD	48440.9	8
2000	0000111111	PC004				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	95763.36	USD	95763.36	8
2000	0000111111	PC005				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	51634.42	USD	51634.42	8
2000	0000111111	PC006				APP_IPAD	0L	TestGL_Cross Comp_2	2019	11	INR	0.00	USD	67481.33	USD	67481.33	8
2000	0000111112						0L	TEST_FB41_001	2019	11	INR	0.00	USD	-181559.47	USD	-181559.47	39
2000	0000111112	0000200010				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-5626.42	USD	-5626.42	50
2000	0000111112	0000200010	EAST	0020001020		APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	1188.00	USD	1188.00	1
2000	0000111112	0000200020				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-63.46	USD	-63.46	1
2000	0000111112	P1T00				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	157.38	USD	157.38	2
2000	0000111112	PAM00				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	0.00	USD	0.00	2
2000	0000111112	PC001				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	81555.11	USD	81555.11	64
2000	0000111112	PC002				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-44957.7	USD	-44957.7	91
2000	0000111112	PC003				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-36098.79	USD	-36098.79	57
2000	0000111112	PC004				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-86793.31	USD	-86793.31	58
2000	0000111112	PC005				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-30551.72	USD	-30551.72	64
2000	0000111112	PC006				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-37580.88	USD	-37580.88	59
2000	0000111112	PXY00				APP_IPAD	0L	TEST_FB41_001	2019	11	INR	0.00	USD	-152.31	USD	-152.31	1
2000	0000111113						0L	TEST_FB41_002	2019	11	INR	0.00	USD	223641.47	USD	223641.47	44
2000	0000111113	0000200010				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	49338.77	USD	49338.77	52
2000	0000111113	0000200010	EAST	0020001010		APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	-23490.00	USD	-23490.00	1
2000	0000111113	0000200010	EAST	0020001020		APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	12200.00	USD	12200.00	0
2000	0000111113	0000200020				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	63.46	USD	63.46	1
2000	0000111113	P1T00				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	-157.38	USD	-157.38	2
2000	0000111113	PAM00				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	0.00	USD	0.00	2
2000	0000111113	PC001				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	-357122.74	USD	-357122.74	81
2000	0000111113	PC002				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	85369.72	USD	85369.72	72
2000	0000111113	PC003				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	105613.83	USD	105613.83	61
2000	0000111113	PC004				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	259014.83	USD	259014.83	62
2000	0000111113	PC005				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	109924.16	USD	109924.16	60
2000	0000111113	PC006				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	131630.82	USD	131630.82	59
2000	0000111113	PXY00				APP_IPAD	0L	TEST_FB41_002	2019	11	INR	0.00	USD	152.31	USD	152.31	1
2000	0000111114	0000200010				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	P1T00				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PC001				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PC002				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PC003				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	200.00	USD	200.00	2
2000	0000111114	PC004				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PC005				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PC006				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	100.00	USD	100.00	1
2000	0000111114	PXY00				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	200.00	USD	200.00	2
2000	0000111115						0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	0000200010				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	P1T00				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	PC001				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	PC002				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	PC004				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	PC005				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000111115	PC006				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-300.00	USD	-300.00	2
2000	0000111115	PXY00				APP_IPAD	0L	Allowances	2019	11	INR	0.00	USD	-100.00	USD	-100.00	1
2000	0000113000						0L	Bank - bank statements	2019	11	INR	0.00	USD	-14000.00	USD	-14000.00	0
2000	0000113000		WEST				0L	Bank - bank statements	2019	11	INR	0.00	USD	100.00	USD	100.00	0
2000	0000113001						0L	Bank - outg. checks	2019	11	INR	0.00	USD	0.00	USD	0.00	0
2000	0000113002						0L	Bank - transfers	2019	11	INR	0.00	USD	-59250.02	USD	-59250.02	26
2000	0000113006						0L	Concentration Account - Checks In	2019	11	INR	0.00	USD	1300.00	USD	1300.00	0
2000	0000125500						0L	Accrued Revenue	2019	11	INR	0.00	USD	0.00	USD	0.00	0
2000	0000160040		EAST				0L	Motor Vehicles	2019	11	INR	0.00	USD	43000.00	USD	43000.00	0
2000	0000160999		EAST				0L	Fixed Assets Acquisition Clearing	2019	11	INR	0.00	USD	-43000.00	USD	-43000.00	0
2000	0000170040		EAST				0L	Accumulated Depreciation - Motor Vehicles	2019	11	INR	0.00	USD	-208.33	USD	-208.33	0
2000	0000211100						0L	Accounts Payable - Consignment Sale	2019	11	INR	0.00	USD	40242.00	USD	40242.00	0
2000	0000213020	PAM00	EAST			APP_IPAD	0L	Accounts Payable - Adjustments Intercompany	2019	11	INR	0.00	USD	-100.00	USD	-100.00	0
2000	0000214050						0L	Guarantees Vendors	2019	11	INR	0.00	USD	-1300.00	USD	-1300.00	0
2000	0000330000	P1T00	SOUT			APP_IPAD	0L	Retained Earnings	2019	11	INR	0.00	USD	100.00	USD	100.00	0
2000	0000400001	0000200010	EAST	0020001010		APP_IPAD	0L	TEST_FB41	2019	11	INR	0.00	USD	19990.00	USD	19990.00	16
2000	0000400001	0000200010	EAST	0020001020		APP_IPAD	0L	TEST_FB41	2019	11	INR	0.00	USD	-10412.00	USD	-10412.00	8
2000	0000400001	0000200020	EAST	0020002020		APP_IPAD	0L	TEST_FB41	2019	11	INR	0.00	USD	-3500.00	USD	-3500.00	0
2000	0000430000	PXY00	NORT			APP_IPAD	0L	Accrued Revenue	2019	11	INR	0.00	USD	3000.00	USD	3000.00	0
2000	0000520050	P1T00	NORT			APP_IPAD	0L	Inventory Change - Work In Process	2019	11	INR	0.00	USD	-3200.00	USD	-3200.00	0
2000	0000520050	PAM00	1100			APP_IPAD	0L	Inventory Change - Work In Process	2019	11	INR	0.00	USD	100.00	USD	100.00	0
2000	0000640040		EAST				0L	Depreciation Expense - Motor Vehicles	2019	11	INR	0.00	USD	208.33	USD	208.33	0
2000	0000802000						0L	Direct Activity Allocation Setup Costs	2019	11	INR	0.00	USD	0.00	USD	0.00	0
